name,bio
ALEXANDER NUT,"Alexander Nut is a renowned DJ and producer known for his eclectic style, blending elements of funk, soul, hip-hop, and electronic music. He is also the co-founder of Eglo Records, a label that has released music by artists such as Floating Points and Fatima."
ALEXIS TAYLOR,"Alexis Taylor is a member of the band Hot Chip and is known for his work in the electronic and indie pop genres. His music often features a combination of electronic beats, melodic synth lines, and thoughtful lyrics."
ALISHA,UK garage and house DJ known for her dynamic and bass-heavy sets.
ALMASS BADAT,"Almass Badat is a DJ and cultural curator, focusing on South Asian and diasporic sounds, blending traditional rhythms with contemporary electronic music."
ALOGTE OHO & HIS SOUNDS OF JOY,"Rarely has a band lived up to its name as well as this Ghanian collective, fusing sinuous Afrofunk with glorious vocal harmonies."
ALTERN 8,"Altern 8 is an English electronic music act from Stafford, best known for their early 1990s rave music, which combined elements of acid house, techno, and breakbeat hardcore."
ALUCIDNATION,"Scenic, panoramic soundscaping. Aural Architecture."
ALVVAYS,Melody driven alternative rock with often “pathetic perspectives” on life and a hint of singer Molly Rankin’s Celtic roots.
AMALIAH,"A British DJ and producer who fuses UK garage, house, and techno, known for her vibrant and high-energy performances."
AMELIE LENS,"Amelie Lens is a Belgian electronic music DJ, producer, and owner of the Lenske record label. She is best known for her dark, driving techno beats, which have made her a heavyweight in the international techno scene."
AN DANNSA DUB,Six-piece live band fusing the mystical energy and instruments of traditional Scottish music and Gaelic song with the heavy driving basslines of digital dub.
ANA ROXANNE,"Embodying the radiance of R&B vocalists, the immaculateness of church hymns, and the soul-stirring power of devotional music, Ana Roxanne makes incredibly intimate pieces of music that combine meditative drone, calming ambient soundscapes, and angelic vocals."
ANDREW MAXWELL MORRIS,"Andrew Maxwell Morris is a singer-songwriter whose music fits within the genre of folk and acoustic rock. His songs often feature heartfelt lyrics, melodic guitar work, and a soulful vocal delivery."
ANDY BLAKE,"Andy Blake is a well-respected DJ and producer in the underground house and techno scenes, known for his deep knowledge of music and eclectic, vinyl-heavy DJ sets."
ANDY C,"Andy C is a legendary figure in the drum & bass genre, co-founder of the renowned Ram Records. Known for his rapid mixing skills and high-energy DJ sets, he has been an essential force in bringing drum & bass to a global audience."
ANDY CATO,"Andy Cato is best known as one half of the electronic music duo Groove Armada. His work primarily falls within the house, electronic, and chill-out genres, creating an eclectic mix of danceable and ambient tracks."
ANGEL D’LITE,"Angel D’Lite is an emerging artist in the electronic music scene, known for her vibrant and eclectic mixes. Her style often blends elements of house, trance, and breakbeat, creating a unique and energetic soundscape."
ANGIE MCMAHON,Assured Australian singer songwriter with a bittersweet line in melancholy underpinning her storylines.
ANISH KUMAR,"Anish Kumar is an artist in the electronic and house music scene. His music often features vibrant beats and infectious grooves, making him a rising star in the dance music community."
ANNA PRIOR,Anna Prior is the drummer of the electronic band Metronomy and is known for her contributions to the indie-pop and electronic music scenes.
ANNA WALL,"A versatile DJ and producer from the UK who explores the deeper, more emotive sides of house and techno, often bringing a soulful touch to her performances."
ANNE-MARIE,The wonderfully self-deprecating R&B dance pop star and highlight of The Voice.
ANNIE MAC,"A prominent DJ from Ireland known for her eclectic taste that spans across various genres including electronic, dance, and indie."
ANOTR,"Blending, mixing, and compiling music into something you’ve never heard before while redefining house music."
ANTIKVARINIAI KASPIROVSKIO DANTYS,"Antikvariniai Kaspirovskio Dantys is a Lithuanian band known for their eclectic mix of Balkan, ska, and punk influences, creating lively and upbeat music."
ANTONY SZMIEREK,"Boasting a hip hop flow with his trademark, dynamic lyricism, an indie hip hop spoken wordsmith and champion of vocabulary."
APIENTO,Test Pressing blogger and esoteric DJ.
ARCHIE HAMILTON,"Renowned for his deep, minimal techno and tech house productions."
ARIELLE FREE,Radio 1 DJ and Love Island Morning After host.
ARLO,Soulful singer-songwriter mixing R&B with contemporary electronic beats.
ARLO PARKS,Award-winning poetic storytelling with an emotional resonance that’s unflinchingly sincere and personal.
AROOJ AFTAB,Gorgeous Urdu-infused dream pop with an intriguing mix of instruments from this Pakistani vocalist.
ARTHI,"Arthi is a DJ and producer known for her deep, atmospheric techno and house sets, which incorporate influences from her Indian heritage and global underground scenes."
ARXX,Alt rock gal pal duo playing pert pop songs with great hooks and a nod to alternative hip hop and rap. Great videos too.
ASHA PUTHLI,The queen of cosmic disco makes a rare live appearance sparked by the success of a new album showcasing remixes of classic cuts like ‘Space Talk’ and ‘Right Down Here’.
AUGUST CHARLES,"Alt-Soul singer born in Ndola, Zambia influenced by Frank Ocean and Amy Winehouse."
AURORA,"Norwegian singer, songwriter, record producer and mood capturing radio DJ with a dramatic euphoric sound."
AURORA HALAL,"Producer, DJ and creator of The Mutual Dreaming Party with a hazy sensuality and a metallic dancefloor intensity."
AVRIL LAVIGNE,Precursor of the pop punk wave of the early 2000s introducing a whole new generation to teenage angst and how to use it.
AXEL BOMAN,"Axel Boman is a Swedish DJ and producer known for his work in the house music genre. His music often incorporates deep, melodic house elements and has a distinctively quirky and playful edge."
AYRA STARR,"Afropop meets R&B through the dynamic vocal range of this soulful, sound-shifting singer songwriter."
AÆE,"An emerging artist in electronic music, AæE combines experimental sounds with techno and ambient influences, creating an innovative and immersive auditory experience."
BABY QUEEN,Pop hooks with punky aggression and sharp-edged cynicism creating alternative pop songs from this rising star.
BAGGY MONDAYS,Reviving the Madchester and Britpop scenes with infectious indie-dance anthems
BAKEY,"Emerging UK DJ and producer known for high-energy, bass-driven tracks that merge UK Garage, House, and Breakbeat influences."
BALMING TIGER,Shunning the slickness of their more mainstream K-pop rivals this tumultuous indie hip hop collective deliver an eclectic and irresistible live set.
BANDYT,"The Bristol celebration of art, music and dacne takes over."
BAR ITALIA,Mysterious trio whose intricate guitar patterns resonate behind Christante’s earnest revelations and edgy prose.
BAREFOOT BANDIT,"Barefoot Bandit is a British band that fuses reggae, rock, and dub to create a high-energy, feel-good sound. They are known for their engaging live performances and catchy, rhythm-driven music."
BARRY CAN'T SWIM,A genre-splicing electronic soundscape skipping from Afrobeat to house to create an uplifting pocket symphony of sound.
BARRY CANT SWIM,"Barry Cant Swim is an electronic music producer, blending elements of house, jazz, and experimental sounds to create immersive, danceable tracks."
BASKERY,"Baskery is a Swedish band known for their unique blend of Americana, folk, and rock. The trio of sisters create a compelling sound that mixes raw, punk energy with traditional acoustic elements, often featuring banjos and double bass."
BATU,"Batu is a prominent figure in the contemporary UK bass and techno scenes. His work is known for its innovative rhythms and textures, and he is also the founder of the Timedance label."
BAXTER DURY,"Sardonic raconteur spinning spontaneous sad and funny yarns of everyday life, love and London."
BAZZOOKAS,"Bazzookas are a lively ska band from the Netherlands, known for their high-energy performances and catchy, brass-infused rhythms that draw from traditional ska and punk influences."
BC CAMPLIGHT,Critically-acclaimed singer-songwriter with a heady mix of lustrous hooks and thematic moods bursting with sophisticated songs of fractured paranoia.
BEA BRENNAN,"Bea Brennan (Bleep43, Old Technology) presents her new quadraphonic, ambient sound work Thought Forms, with visual accompaniment provided by artist Damien Roach (555-5555)"
BEANS ON TOAST,"Beans On Toast is a British folk singer-songwriter. Known for his raw, unfiltered lyrics and simple acoustic guitar arrangements, he often addresses political and social issues in a humorous and candid manner."
BEL COBAIN,"Multi-dimensional artist translating her message through jazz, house, alternative R&B and hip hop."
BEN HEMSLEY,"With alluring melodies and flavours of old school rave nostalgia, a hot ticket in UK house and techno."
BENGA,"Benga, another foundational figure in the dubstep scene, is celebrated for his innovative bass-heavy productions that have significantly shaped the genre's sound."
BENJI B,"Benji B is renowned for his eclectic DJ sets and radio shows, where he seamlessly blends hip-hop, grime, electronic, and soulful tunes. He has become a prominent figure in the underground music scene, known for his ability to discover and promote emerging talent."
BENNY L,Randall-schooled DJ and producer turns up the bass.
BERNARD BUTLER,"Renowned songwriter and producer (Sam Lee, Jessie Buckley) who has worked with everyone from Bert Jansch to The Libertines and Tricky."
BETH NIELSEN CHAPMAN,"Beth Nielsen Chapman is a singer-songwriter whose work spans the genres of adult contemporary, pop, and country. Her music is often characterized by its heartfelt lyrics and emotive melodies."
BICEP," Belfast-born duo celebrated for their unique blend of house music layered with lush, electronic textures."
BIG SPECIAL,Featuring broad-shouldered poetry over ground-shaking live beats with anthemic blasts of melody and rousing riffage.
BILLIE MARTEN,"Minimalist acoustic folk inspired by the likes of Nick Drake, Joan Armatrading, and Kate Bush, now bolstered with a backbone of bass and rhythm."
BILLY BRAGG,"Your host, celebrating a remarkable 40 years as Britain’s favourite singer, songwriter and campaigner."
BILLY NOMATES,A beacon of brutal truth in an industry built on inconsequential bullshit with songs that roll out like real time experiences.
BLACK PUMAS,Guitarist Adrian Quesada and vocalist Eric Burton have created an incendiary live show drawn from the psychedelic soul of their two Grammy-nominated albums.
BLACKBERRY WOOD,"Blackberry Wood is known for their unique blend of acoustic, gypsy, and folk-punk music. Their energetic performances often feature eclectic instrumentation, creating a festive and vibrant atmosphere."
BLANCO,Breaking ground as a drill pioneer turned genre-bending rap innovator.
BLAWAN,"Blawan, aka Jamie Roberts, Barnsley native, ex-drummer turned techno innovator. Known for experimental techno, Kilner/Bored Young Adults aliases, and TERNESC label."
BLOC PARTY,Kele Okereke and Russell Lissack’s revived post punk indie rock favourites return with a host of riff-heavy hits.
BLONDSHELL,American alt rock with booming drums and plenty of Goth rock drama before every glorious chorus redeems it all.
BOB VYLAN,"A powerhouse of rhythm and vitriol embracing chaos and peace with rap and riffs creating genre-defying, fist-waving social commentary."
BOBBY FRICTION,"Bobby Friction is a British DJ and television presenter noted for his work in the UK Asian music scene. He specializes in genres like Bhangra, Asian Underground, and electronic dance music, often highlighting South Asian influences."
BOBBY.,"Known for his deep house and soulful techno sets, Bobby. creates an intimate and emotionally resonant atmosphere on the dance floor."
BOMBAY BICYCLE CLUB,Guitar-fronted genre-switching indie rock with a nod to everything from old school folk to future electronica.
BONOBO,"Musician, producer, and DJ who debuted with a trip hop aesthetic and has since explored more upbeat tempo as well as jazz and world music"
BOOTY BASS,The Bristol collective of  female/nb/queer DJS.
BOU,"Bou is a well-known producer in the drum and bass scene, particularly in the jump-up and roller sub-genres. His tracks are celebrated for their dynamic basslines and infectious rhythms."
BRADLEY ZERO,Rhythm Section founder and Boiler Room original with his infectious love of new music.
BREAK,"Break is a British drum and bass producer and DJ. Known for his technical skills and deep, rolling basslines, he has released numerous tracks and albums that are staples in the DnB community."
BRITTANY HOWARD,"While the Nashville-based artist originally made her name with Alabama Shakes, its her two subsequent solo albums that have really revealed her colossal creative spirit."
BRYTE,Bryte is a Ghanaian artist known for his high-energy Afrobeat and dancehall music. He often blends traditional Ghanaian sounds with modern electronic elements.
BUFFOS WAKE,Buffos Wake are known for their wild and eclectic blend of folk-punk and gypsy influences. Their energetic performances and unique sound make them stand out in the world of alternative folk music.
BURNA BOY,"Politically-active Nigerian singer songwriter whose blend of easy going Afro-pop, rap and R&B has reaped a host of Grammy Awards and global recognition."
BURT COPE,"Burt Cope is known for his work in the UK Bass genre, a subgenre of electronic dance music characterized by heavy basslines and often incorporates elements of Garage and Grime."
CAITY BASER,Charismatic singer songwriter mixing her inner Etta james with an understanding of classic pop melodies.
CALEB KUNLE,Soul music in its purest form for the modern era.
CALUM BOWIE,Singer songwriter single-handedly redefining the Scottish music scene with his dynamic live performances.
CAM COLE,"Cam Cole is a musical artist known for his gritty, raw sound that blends rock, blues, and folk influences. His one-man-band performances showcase his talents on guitar, drums, and vocals, creating a unique and powerful live experience."
CAMELPHAT,Arena-filling DJ duo from Liverpool redefining the electronic and dance mediums with their hi-octane sets.
CAMILA CABELLO,Perfect slipstream electronic pop filled with Latin R&B flavours from the effervescent Cuban soprano.
CARA HAMMOND,"Cara Hammond is a singer-songwriter whose music blends soulful pop with influences from folk and jazz. Known for her compelling vocal delivery and introspective songwriting, Hammond creates music that is both emotive and relatable."
CARASEL,"Carasel is known in the drum and bass scene, often recognized for his skills as an MC and vocalist. He has collaborated with various producers and is a staple in live drum and bass events."
CARISTA,"Carista, Utrecht DJ/producer, captivates with genre-blending sets. BBC Radio 1 resident, acclaimed Essential Mix. Red Light Radio alum."
CARLITA,"Mixing live and electronic instruments, sampled instruments and field recordings from her travels."
CARLY WILFORD,"After a series of standout releases in 2024, Carly Wilford has secured her space as one of the most promising new names in dance music. With her tunes heavily backed by Radio 1, she has recently shared stages with likes of Hannah Laing, Arielle Free, Monki and Meg Ward."
CASEY SPILLMAN,London-based electronic artist blending skippy percussion and deep basslines within the UK garage and minimal tech scenes.
CASISDEAD,Hailed as one of the best things to happen in British rap and renowned for his incisive inventive lyrics.
CASSETTEBOY,British musical comedy duo famous for their satirical mashups and clever audio-visual remixes.
CC:DISCO!,"Cc:Disco! is a DJ and radio host celebrated in the electronic and dance music scene. Her sets often feature a nostalgic mix of disco, house, and boogie, creating vibrant and feel-good dance floor experiences."
CHAOS IN THE CBD,"The iconic duo of brothers Ben and Louis and their journey from the beaches of New Zealand to the bustling dance community of Peckham, London, has seen them rise as one of the hottest acts in the house music scene."
CHARISSE C,"Charisse C, DJ/artist, founder of Abantu. Blends Zimbabwean, South African roots with UK sounds. Known for soulful, bass-heavy sets."
CHARLI XCX,Innovative pop star blending hyperpop with electroclash and punk influences.
CHARLIE TEE,"Charlie Tee is a dynamic DJ and radio host, known for her versatile sets in drum and bass and electronic music."
CHARLOTTE PLANK,"Singer, songwriter and producer with a string of her own poppy drum and bass anthems."
CHEZ DE MILO,"An emerging electronic artist and DJ focusing on progressive house and melodic techno, creating immersive auditory experiences."
CHIEDU ORAKA,A conscious grime artist who moves with purpose.
CHIMINYO,"Chiminyo is a groundbreaking artist known for his unique blend of electronic music with live percussion. He uses custom-designed drum kits to create intricate and dynamic performances, seamlessly integrating electronic beats and samples."
CHIMPO,"Chimpo is a Manchester-based producer and DJ known for his work in the Drum and Bass and Grime scenes. His unique style often blends elements from both genres, making his tracks energetic and bass-heavy."
CHLOE SLATER,Playing peppy indie rock and some spikey guitar for added texture.
CHRIS CRUSE,"Chris Cruse is a DJ who is deeply rooted in the LGBTQ+ underground scene. He is the founder of the critically acclaimed queer party series Spotlight, known for its cutting-edge house and techno selections. Cruse’s sets are known for their emotional depth and dancefloor intensity."
CHRIS DIFFORD,"Chris Difford is known for being a member of the British rock band Squeeze. His primary sub-genre is new wave, a style that emerged in the late 1970s and incorporates elements of pop, punk, and electronic music."
CHRIS STUSSY,"DJ, producer and label boss established as a central figure within the modern house landscape."
CHUNKY,Celebrating Floating Points and Alex Nut’s Eglo label with stalwart Manchester rapper and producer Chunky.
CLIPZ,Straight from Bristol’s rave scene of the 90s on a drum and bass/jungle tip.
COAST 2 COAST,Berlin’s first mobile record shop turned three person B2B DJ experience exploring infinite possibilities.
COCO EM,"Coco Em is a Nairobi-based DJ and producer known for her eclectic mixes that blend elements of house, afrobeat, and electronic music. She is celebrated for her ability to incorporate diverse musical influences into her sets."
COLDPLAY,The Music Of The Spheres carbon-reduced world tour touches down at the Pyramid for a Saturday night spectacular.
CONDUCTA,"Conducta is a DJ and producer from the UK who is a leading figure in the UK garage revival movement. He is known for his smooth, melodic tracks that bring a modern twist to the classic garage sound."
CONFIDENCE MAN,"Highly polished Antipodean electropop duo who are unstoppable, unquenchable, fierce, flirty and full of big tunes."
CORINNE BAILEY RAE,"Released last year, ‘Black Rainbows’ was the sound of an artist cutting loose and diving deep into the collective black culture."
COSMO SHELDRAKE,"Cosmo Sheldrake is a British musician, composer, and producer known for his eclectic and experimental approach to music. His work often incorporates elements of folk, electronic, and various world music traditions, creating a unique and whimsical soundscape."
COUSIN KULA,"Bristol band bringing a dreamy, laid-back sound to the soul underground scene."
CRAIG CHARLES,"Craig Charles is a multifaceted artist known for his work as a DJ and presenter. He is particularly celebrated for his contributions to the funk and soul genres, often hosting shows that feature classic tracks and contemporary hits in these styles."
CRAIG RICHARDS,"A legendary figure in the UK electronic music scene, Craig Richards is known for his long-standing residency at Fabric, where he delivers eclectic and deeply immersive sets spanning techno, house, and beyond."
CRAZY P,"Slinky underground disco, deep electronic throbs and shimmering pop melodies; dance music with heart and soul."
CUT CAPERS,Explosive nine-piece with a killer live reputation filled with booming brass hooks and epic high energy arrangements.
CYNDI LAUPER,"Activist, actress and 80s global pop icon whose ‘Girls Just Want To Have Fun’ remains the legendary feminist anthem."
D-BLOCK EUROPE,British hip hop collective delivering woozy trap and some hedonistic rap rhymes.
D:REAM,Chart toppers celebrating 30 years anniversary with a brand-new show full of their anthems.
DAISY CHAPMAN,"Daisy Chapman's music sits at the intersection of dark folk and chamber pop. Known for her haunting piano compositions and powerful vocals, she crafts emotionally charged songs that resonate deeply with her audience."
DAN BEAN,Wonky horizontal psychedelia
DAN SHAKE,"Acclaimed for his infectious blend of disco, house, and Afrobeat rhythms."
DANIEL AVERY,A dexterous DJ who has turned his hand to everything from pounding techno to dark industrial noise and blissed out ambience over the years.
DANIELLE,"A versatile DJ from Bristol, celebrated for her diverse sets that traverse techno, electro, and breakbeat, often infused with a dark, atmospheric edge."
DANNY BROWN,"Having dropped his sixth studio album, ‘Quaranta’ last year, the Detroit-raised MC is making an overdue debut at the festival."
DAPHNI,"Daphni is a side project of Canadian musician Dan Snaith, who is also known for his work as Caribou. Under the Daphni moniker, Snaith delves into electronic dance music, creating tracks that are innovative and often geared towards the dance floor with a mix of house, techno, and experimental sounds."
DAR DISKU,"A DJ duo from Bahrain, celebrated for their unique blend of Middle Eastern disco, Arabic funk, and global dance music influences."
DAS BRASS,"Das Brass is a dynamic brass band that infuses traditional brass band music with elements of funk, hip-hop, and dance. Their high-energy performances are known for their infectious grooves and lively atmosphere."
DAVE HARVEY,"A versatile DJ and promoter, co-founder of the esteemed Love International festival, known for his deep house and disco-infused sets."
DAVID CELIA,"David Celia is a Canadian singer-songwriter known for his engaging blend of folk rock and pop. His music often features harmonious melodies, thoughtful lyrics, and a warm, acoustic-driven sound."
DEAF RAVE,Deaf Rave is a unique movement within the electronic dance music scene that aims to bring the rave experience to the deaf and hard of hearing community through visual music and sign language performances.
DECIUS,"Members of Trashmouth Records, Fat White Family and Paranoid London find themselves climbing out of a hole together at a disco after hours."
DECLAN MCKENNA,Former Glastonbury Emerging Talent winner who’s blossomed into an alternative indie alt-rock star.
DEEKLINE,"Deekline is a prominent figure in the Breakbeat genre, which features a syncopated drum pattern, and is closely related to genres like Jungle and Drum and Bass."
DEENA ABDELWAHED,"Deena Abdelwahed, Tunisian DJ/producer, now in France. Known for hybridized sets and acclaimed EP "
DEJA,"Funky, gentle and smooth R&B mixed into a flamboyant super sweet sound."
DELE SOSIMI,Veteran Afrobeat musician fusing traditional Nigerian rhythms with contemporary jazz and funk elements.
DELILAH BON,"Delilah Bon is recognized for her fusion of rap, punk, and rock. Her music is characterized by strong feminist themes, aggressive vocals, and a DIY punk aesthetic that challenges societal norms."
DEMI RIQUISIMO,"A key figure in disco-infused house music, Demi Riquisimo is celebrated for his bold, upbeat tracks that are sure to get any dance floor moving."
DEMI RIQUÍSIMO,"Demi Riquísimo is known for his contributions to the nu-disco and house music scenes. His tracks often feature a blend of groovy basslines, funky rhythms, and nostalgic vibes that have made him a rising star in the dance music community."
DENHAM AUDIO,"Denham Audio is associated with the Rave and breakbeat Hardcore scenes, known for their high-energy beats and nostalgic nods to 90s British rave culture."
DERVISH,"Compelling soulful Irish folk music that marries technical brilliance with a rare sensitivity, born of their lengthy career."
DESIREE,"A dynamic and vibrant selector driven by a deep yearning for electronica, channelling her knowledge and passion into unforgettable performances."
DEXYS,"Ever-morphing pop purists playing a saucy, synth-heavy cabaret of sound: occasionally doom-laden, heavy and dark, then steamy, fizzing and sultry."
DILLINJA,"Dillinja is a British drum and bass producer and DJ, renowned for his heavy basslines and powerful production techniques. He is considered one of the pioneers of the genre, with a career spanning several decades. Dillinja co-founded the label Valve Recordings and was instrumental in the development of the iconic Valve Sound System."
DISCLOSURE,"Electronic mixmasters straddling the boundaries of deep house, UK funky, 2-step garage, deep tech, EDM and anything else they care to."
DISMANTLE,"A key figure in the bass and UK funky scenes, Dismantle is celebrated for his energetic tracks and contributions to the evolving sound of bass music."
DISRUPTA,"Disrupta is an emerging artist in the Drum and Bass genre, known for his energetic tracks and innovative mixes. His music often features fast-paced breaks, heavy basslines, and intricate rhythms, making him a notable figure in the contemporary Drum and Bass scene."
DIXON,"Dixon is a renowned DJ and producer in the house and techno genres. As a key figure in the Berlin electronic music scene, he is celebrated for his deep, emotive sets and his role in the influential Innervisions label."
DIY,"DIY is a legendary collective within the underground house music scene, particularly known for their contribution to the early UK free party movement. They are celebrated for their deep house tracks and organizing free parties and events since the 1990s."
DJ BORING,"DJ Boring is an electronic music producer and DJ from Australia, noted for his lo-fi house tracks. He rose to prominence with the viral hit 'Winona,' known for its nostalgic vibe and distinctive samples."
DJ DANIFOX,"Dj Danifox is a prominent figure in the Kuduro music scene, an energetic style of dance music that originated in Angola and incorporates African rhythms and Portuguese influences."
DJ DIE,"DJ Die is a pivotal figure in the drum and bass scene, particularly known for his contributions to the 'Bristol sound.' He was a member of the groundbreaking collective Reprazent alongside Roni Size and has released numerous influential tracks and remixes."
DJ EZ,"DJ EZ is renowned for his exceptional skill and influence in the UK Garage scene. With a career spanning over two decades, he is celebrated for his high-energy sets and technical prowess."
DJ FLIGHT,"DJ Flight, Drum & Bass pioneer, EQ50 co-founder. Celebrated 25 years in 2022 with Boiler Room set, DJ Mag award."
DJ LAG,Electronic dance sounds from the South African DJ and producer.
DJ MILO,Hailing from the vibrant streets of Johannesburg with a magnetic fusion of hip hop and R&B that keeps the crowd grooving.
DJ PAULETTE,"DJ Paulette is a renowned British DJ known for her eclectic sets that span various genres including house, techno, and disco. She has had residencies at some of the world's top clubs and is celebrated for her dynamic and inclusive approach to DJing."
DJ PYTHON,"DJ Python, aka Brian Pineyro, NYC-based, versatile producer. Master of lo-fi house, techno, ambient. Global festival favorite."
DJ RAP,"DJ Rap is a pioneering figure in drum and bass and electronic music. She has been an influential DJ, producer, and vocalist in the scene, known for her high-energy sets and versatile production that spans genres including drum and bass, house, and breakbeat."
DJ RUBBISH,British DJ known for his irreverent and humorous take on grime and hip-hop.
DJ SPEN,"DJ Spen is an American DJ and producer, renowned for his work in house music. He has a long history in the industry, including his work with The Basement Boys and Quantize Recordings."
DJ STINGRAY 313,"DJ Stingray 313, Detroit native, electro pioneer. Known for masked performances, Urban Tribe alias, futuristic beats."
DJ TENNIS,"DJ Tennis is a master of eclectic electronic music, skillfully blending elements of house and techno with experimental sounds."
DOC SCOTT,"A seminal figure in drum and bass, Doc Scott's innovative productions and DJ sets have been instrumental in shaping the genre's sound and evolution."
DOLLY MAVIES,"Dolly Mavies is an emerging artist known for her unique blend of indie folk and pop, characterized by heartfelt lyrics, soulful vocals, and melodic instrumentation."
DON LETTS,The rebel dread returns with the tunes to riock the block
DOUBLE O,"Double O is a key player in the Jungle and Drum and Bass scenes, known for the genre's fast breakbeats (typically between 160–180 BPM), heavily syncopated percussive loops, samples, and synthesized effects."
DOVE,South London's dynamic drum and bass outfit closing the evening out.
DR BANANA,"Emerging talent in the house and techno scene, known for his energetic sets and deep, bass-driven tracks."
DR DUBPLATE,"A staple of the UK underground scene, Dr Dubplate mixes garage, dub, and breakbeats with a focus on vinyl culture and emerging talent through his label ec2a."
DR MEAKER,"Dr Meaker is a renowned act in the drum and bass scene, known for blending live instruments with electronic beats. Their sound is characterized by soulful vocals, lush melodies, and heavy basslines, creating a powerful and emotive listening experience."
DREAD,"As a significant figure in jungle and drum and bass, Dread produces high-energy tracks with intricate breakbeats and dark, atmospheric tones."
DREAM MCLEAN,"Dream Mclean is a British rapper and grime artist, recognized for his intricate wordplay and ability to blend grime with hip-hop and dubstep influences."
DRESDEN,"The ambitious club duo touches down in Somerset, fronted by old friends Ivan Smagghe and Manfredas."
DRS,"DRS is a well-known figure in the drum and bass community, recognized for his lyrical prowess and contributions to the genre as an MC. His works often feature deep, introspective lyrics over high-energy drum and bass rhythms."
DUA LIPA,"Multi-BRIT and Grammy-winning disco diva, actress and cover star newly ensconced in the psychedelic hues of rave and Brit Pop."
DUBKASM,"Pioneering the UK roots and dub reggae scene, Dubkasm blends vintage dub styles with modern roots reggae for a powerful live experience."
DUCKWORTHSOUND,"An innovator in grime and UK bass, Duckworthsound delivers hard-hitting beats and energetic rhythms that dominate the underground scene."
DUNGEON MEAT,"Dungeon Meat is an electronic music duo known for their deep house and techno productions. Their music often features dark, organic sounds and a focus on raw, driving beats."
DUSKEE,"UK-based MC known for his dynamic contributions to the drum and bass scene, collaborating with top-tier artists like K Motionz and Bru-C?"
DUSTY STRAY,"Dusty Stray is the musical project of Jonathan Brown, characterized by its melancholic indie-folk sound. The music often features delicate acoustic instrumentation, haunting melodies, and reflective lyrics that explore themes of love, loss, and solitude."
DYEN,Dyen is recognized in the techno scene for his fast-paced and hard-hitting beats which often blend elements of hard techno and industrial influences.
EAST END DUBS,"East End Dubs is a prominent figure in the underground house and minimal techno scenes, known for his deep grooves and stripped-back productions."
EATS EVERYTHING,"A powerhouse in house and techno, Eats Everything's sets and productions are celebrated for their bass-heavy, eclectic sound."
ED SOLO,"Ed Solo is well-known in the Drum and Bass genre, particularly for his work in its subgenre of Jump-Up, characterized by its energetic, upbeat rhythms."
EFFY,"Effy is a rising artist known for her dark and atmospheric take on techno and house music, often blending elements of industrial and acid sounds."
