name,bio
AURORA,"Norwegian singer, songwriter, record producer and mood capturing radio DJ with a dramatic euphoric sound."
AURORA HALAL,"Producer, DJ and creator of The Mutual Dreaming Party with a hazy sensuality and a metallic dancefloor intensity."
AVRIL LAVIGNE,Precursor of the pop punk wave of the early 2000s introducing a whole new generation to teenage angst and how to use it.
AXEL BOMAN,"Axel Boman is a Swedish DJ and producer known for his work in the house music genre. His music often incorporates deep, melodic house elements and has a distinctively quirky and playful edge."
AYRA STARR,"Afropop meets R&B through the dynamic vocal range of this soulful, sound-shifting singer songwriter."
AÆE B2B FONZO,A mix of dark & soulful electronic music.
BABY QUEEN,Pop hooks with punky aggression and sharp-edged cynicism creating alternative pop songs from this rising star.
BAGGY MONDAYS,The legendary Manchester-flavoured indie-disco is back to kickstart another Glastonbury with a Thursday afternoon session. Get there early and bring your best singing voice! 
BAKEY,"Bakey is a producer in the UK garage and bass music scene, known for his energetic beats and distinctive sound that draws from 2-step and grime influences."
BAKEY FT WHO KNEW,"With a distinctive fusion of sultry melodies, complex drum programming, and pounding beats."
BALMING TIGER,Shunning the slickness of their more mainstream K-pop rivals this tumultuous indie hip hop collective deliver an eclectic and irresistible live set.
BANDYT,"The Bristol celebration of art, music and dacne takes over."
BAR ITALIA,Mysterious trio whose intricate guitar patterns resonate behind Christante’s earnest revelations and edgy prose.
BAREFOOT BANDIT,"Barefoot Bandit is a British band that fuses reggae, rock, and dub to create a high-energy, feel-good sound. They are known for their engaging live performances and catchy, rhythm-driven music."
BARRY CAN'T SWIM,A genre-splicing electronic soundscape skipping from Afrobeat to house to create an uplifting pocket symphony of sound.
BARRY CANT SWIM,"Barry Cant Swim is an electronic music producer, blending elements of house, jazz, and experimental sounds to create immersive, danceable tracks."
BASKERY,"Baskery is a Swedish band known for their unique blend of Americana, folk, and rock. The trio of sisters create a compelling sound that mixes raw, punk energy with traditional acoustic elements, often featuring banjos and double bass."
BATU,"Batu is a prominent figure in the contemporary UK bass and techno scenes. His work is known for its innovative rhythms and textures, and he is also the founder of the Timedance label."
BAXTER DURY,"Sardonic raconteur spinning spontaneous sad and funny yarns of everyday life, love and London."
BAZZOOKAS,"Bazzookas are a lively ska band from the Netherlands, known for their high-energy performances and catchy, brass-infused rhythms that draw from traditional ska and punk influences."
BC CAMPLIGHT,Critically-acclaimed singer-songwriter with a heady mix of lustrous hooks and thematic moods bursting with sophisticated songs of fractured paranoia.
BEA BRENNAN,"Bea Brennan (Bleep43, Old Technology) presents her new quadraphonic, ambient sound work Thought Forms, with visual accompaniment provided by artist Damien Roach (555-5555)"
BEANS ON TOAST,"Beans On Toast is a British folk singer-songwriter. Known for his raw, unfiltered lyrics and simple acoustic guitar arrangements, he often addresses political and social issues in a humorous and candid manner."
BEL COBAIN,"Multi-dimensional artist translating her message through jazz, house, alternative R&B and hip hop."
BEN HEMSLEY,"With alluring melodies and flavours of old school rave nostalgia, a hot ticket in UK house and techno."
BENGA,"Benga is a British musician, DJ, and music producer known as one of the pioneering forces in the dubstep genre. His innovative approach and collaborations have significantly influenced the sound and evolution of dubstep since its inception."
BENJI B,"Benji B is renowned for his eclectic DJ sets and radio shows, where he seamlessly blends hip-hop, grime, electronic, and soulful tunes. He has become a prominent figure in the underground music scene, known for his ability to discover and promote emerging talent."
BENNY L,Randall-schooled DJ and producer turns up the bass.
BERNARD BUTLER,"Renowned songwriter and producer (Sam Lee, Jessie Buckley) who has worked with everyone from Bert Jansch to The Libertines and Tricky."
BETH NIELSEN CHAPMAN,"Beth Nielsen Chapman is a singer-songwriter whose work spans the genres of adult contemporary, pop, and country. Her music is often characterized by its heartfelt lyrics and emotive melodies."
BICEP,"Bicep is a Belfast-born electronic music duo known for their house and techno productions, often infused with elements of breakbeat, electro, and nostalgic rave culture."
BICEP PRES CHROMA,"Bicep, Belfast-born duo, acclaimed curators/producers. Known for dynamic electronic music and Chroma AV show. BBC: "
BIG SPECIAL,Featuring broad-shouldered poetry over ground-shaking live beats with anthemic blasts of melody and rousing riffage.
BILLIE MARTEN,"Minimalist acoustic folk inspired by the likes of Nick Drake, Joan Armatrading, and Kate Bush, now bolstered with a backbone of bass and rhythm."
BILLY BRAGG,"Your host, celebrating a remarkable 40 years as Britain’s favourite singer, songwriter and campaigner."
BILLY NOMATES,A beacon of brutal truth in an industry built on inconsequential bullshit with songs that roll out like real time experiences.
BLACK PUMAS,Guitarist Adrian Quesada and vocalist Eric Burton have created an incendiary live show drawn from the psychedelic soul of their two Grammy-nominated albums.
BLACKBERRY WOOD,"Blackberry Wood is known for their unique blend of acoustic, gypsy, and folk-punk music. Their energetic performances often feature eclectic instrumentation, creating a festive and vibrant atmosphere."
BLANCO,Breaking ground as a drill pioneer turned genre-bending rap innovator.
BLAWAN,"Blawan, aka Jamie Roberts, Barnsley native, ex-drummer turned techno innovator. Known for experimental techno, Kilner/Bored Young Adults aliases, and TERNESC label."
BLOC PARTY,Kele Okereke and Russell Lissack’s revived post punk indie rock favourites return with a host of riff-heavy hits.
BLONDSHELL,American alt rock with booming drums and plenty of Goth rock drama before every glorious chorus redeems it all.
BOB VYLAN,"A powerhouse of rhythm and vitriol embracing chaos and peace with rap and riffs creating genre-defying, fist-waving social commentary."
BOBBY FRICTION,"Bobby Friction is a British DJ and television presenter noted for his work in the UK Asian music scene. He specializes in genres like Bhangra, Asian Underground, and electronic dance music, often highlighting South Asian influences."
BOMBAY BICYCLE CLUB,Guitar-fronted genre-switching indie rock with a nod to everything from old school folk to future electronica.
BONOBO,"Musician, producer, and DJ who debuted with a trip hop aesthetic and has since explored more upbeat tempo as well as jazz and world music"
BOOTY BASS,The Bristol collective of  female/nb/queer DJS.
BOU,"Bou is a well-known producer in the drum and bass scene, particularly in the jump-up and roller sub-genres. His tracks are celebrated for their dynamic basslines and infectious rhythms."
BRADLEY ZERO,Rhythm Section founder and Boiler Room original with his infectious love of new music.
BREAK,"Break is a British drum and bass producer and DJ. Known for his technical skills and deep, rolling basslines, he has released numerous tracks and albums that are staples in the DnB community."
BRITTANY HOWARD,"While the Nashville-based artist originally made her name with Alabama Shakes, its her two subsequent solo albums that have really revealed her colossal creative spirit."
BRYTE,Bryte is a Ghanaian artist known for his high-energy Afrobeat and dancehall music. He often blends traditional Ghanaian sounds with modern electronic elements.
BUFFOS WAKE,Buffos Wake are known for their wild and eclectic blend of folk-punk and gypsy influences. Their energetic performances and unique sound make them stand out in the world of alternative folk music.
BURNA BOY,"Politically-active Nigerian singer songwriter whose blend of easy going Afro-pop, rap and R&B has reaped a host of Grammy Awards and global recognition."
BURT COPE,"Burt Cope is known for his work in the UK Bass genre, a subgenre of electronic dance music characterized by heavy basslines and often incorporates elements of Garage and Grime."
CAITY BASER,Charismatic singer songwriter mixing her inner Etta james with an understanding of classic pop melodies.
CALEB KUNLE,Soul music in its purest form for the modern era.
CALUM BOWIE,Singer songwriter single-handedly redefining the Scottish music scene with his dynamic live performances.
CAM COLE,"Cam Cole is a musical artist known for his gritty, raw sound that blends rock, blues, and folk influences. His one-man-band performances showcase his talents on guitar, drums, and vocals, creating a unique and powerful live experience."
CAMELPHAT,Arena-filling DJ duo from Liverpool redefining the electronic and dance mediums with their hi-octane sets.
CAMILA CABELLO,Perfect slipstream electronic pop filled with Latin R&B flavours from the effervescent Cuban soprano.
CARA HAMMOND,"Cara Hammond is a singer-songwriter whose music blends soulful pop with influences from folk and jazz. Known for her compelling vocal delivery and introspective songwriting, Hammond creates music that is both emotive and relatable."
CARASEL,"Carasel is known in the drum and bass scene, often recognized for his skills as an MC and vocalist. He has collaborated with various producers and is a staple in live drum and bass events."
CARISTA,"Carista, Utrecht DJ/producer, captivates with genre-blending sets. BBC Radio 1 resident, acclaimed Essential Mix. Red Light Radio alum."
CARLITA,"Mixing live and electronic instruments, sampled instruments and field recordings from her travels."
CARLY WILFORD,"After a series of standout releases in 2024, Carly Wilford has secured her space as one of the most promising new names in dance music. With her tunes heavily backed by Radio 1, she has recently shared stages with likes of Hannah Laing, Arielle Free, Monki and Meg Ward."
CASEY SPILLMAN,"Casey Spillman is a rising artist in the UK house and techno scene. His music often features deep, rolling basslines and intricate rhythms, catering to both underground clubs and larger electronic music festivals."
CASEY SPILLMAN B2B JULIAN ANTHONY,"Casey Spillman perfectly recreates a combination of sounds his city is known for, with his reputation in London spread to an international level in recent years. Julian Anthony was raised in the Amsterdam underground house scene, surrounded by Slapfunk founders and vinyl heads."
CASISDEAD,Hailed as one of the best things to happen in British rap and renowned for his incisive inventive lyrics.
CASSETTEBOY,"Cassetteboy is a British musical duo known for their humorous mashups and mixes, often using samples from television, film, and music to create satirical pieces."
CC:DISCO,"Slow, pumping playful and uplifting electronic sounds from the Australian DJ."
CC:DISCO!,"Cc:Disco! is a DJ and radio host celebrated in the electronic and dance music scene. Her sets often feature a nostalgic mix of disco, house, and boogie, creating vibrant and feel-good dance floor experiences."
CELEBRATING ANNIE,A late night session devoted to the Festival regular and Radio 1 stalwartr.
CHAOS IN THE CBD,"The iconic duo of brothers Ben and Louis and their journey from the beaches of New Zealand to the bustling dance community of Peckham, London, has seen them rise as one of the hottest acts in the house music scene."
CHARISSE C,"Charisse C, DJ/artist, founder of Abantu. Blends Zimbabwean, South African roots with UK sounds. Known for soulful, bass-heavy sets."
CHARLI XCX,"Charli XCX is an influential figure in the Hyperpop genre, known for its exaggerated, eclectic pop sound that incorporates elements of electronic, avant-garde, and mainstream pop music."
CHARLI XCX PRESENTS PARTYGIRL,"Offering a close-up look at Charli’s glitchy, club music era."
CHARLIE TEE B2B SOTA,Charlie Tee’s celebration of electronic music meets Sota’s drum and bass sounds.
CHARLOTTE PLANK,"Singer, songwriter and producer with a string of her own poppy drum and bass anthems."
CHEZ DE MILO B2B ELLIE STOKES,Love International's Chez & Ellie make all manner of wave-related sonics eruptions.
CHIEDU ORAKA,A conscious grime artist who moves with purpose.
CHIMINYO,"Chiminyo is a groundbreaking artist known for his unique blend of electronic music with live percussion. He uses custom-designed drum kits to create intricate and dynamic performances, seamlessly integrating electronic beats and samples."
CHIMPO,"Chimpo is a Manchester-based producer and DJ known for his work in the Drum and Bass and Grime scenes. His unique style often blends elements from both genres, making his tracks energetic and bass-heavy."
CHLOE SLATER,Playing peppy indie rock and some spikey guitar for added texture.
CHLOE SLOMO A/V,"SloMo A/V, Chloé's ambient project, is an experience that could be described as immersive. Here, sounds generate images, or perhaps it's the other way around: hard to tell in this enigmatic, hypnotic dialogue."
CHRIS CRUSE,"Chris Cruse is a DJ who is deeply rooted in the LGBTQ+ underground scene. He is the founder of the critically acclaimed queer party series Spotlight, known for its cutting-edge house and techno selections. Cruse’s sets are known for their emotional depth and dancefloor intensity."
CHRIS DIFFORD,"Chris Difford is known for being a member of the British rock band Squeeze. His primary sub-genre is new wave, a style that emerged in the late 1970s and incorporates elements of pop, punk, and electronic music."
CHRIS STUSSY,"DJ, producer and label boss established as a central figure within the modern house landscape."
CHUNKY,Celebrating Floating Points and Alex Nut’s Eglo label with stalwart Manchester rapper and producer Chunky.
CLIPZ,Straight from Bristol’s rave scene of the 90s on a drum and bass/jungle tip.
COAST 2 COAST,Berlin’s first mobile record shop turned three person B2B DJ experience exploring infinite possibilities.
COCO EM,"Coco Em is a Nairobi-based DJ and producer known for her eclectic mixes that blend elements of house, afrobeat, and electronic music. She is celebrated for her ability to incorporate diverse musical influences into her sets."
COLDPLAY,The Music Of The Spheres carbon-reduced world tour touches down at the Pyramid for a Saturday night spectacular.
CONDUCTA,"Conducta is a DJ and producer from the UK who is a leading figure in the UK garage revival movement. He is known for his smooth, melodic tracks that bring a modern twist to the classic garage sound."
CONFIDENCE MAN,"Highly polished Antipodean electropop duo who are unstoppable, unquenchable, fierce, flirty and full of big tunes."
CORINNE BAILEY RAE,"Released last year, ‘Black Rainbows’ was the sound of an artist cutting loose and diving deep into the collective black culture."
COSMO SHELDRAKE,"Cosmo Sheldrake is a British musician, composer, and producer known for his eclectic and experimental approach to music. His work often incorporates elements of folk, electronic, and various world music traditions, creating a unique and whimsical soundscape."
COUSIN KULA,"Bristol band bringing a dreamy, laid-back sound to the soul underground scene."
CRAIG CHARLES,"Craig Charles is a multifaceted artist known for his work as a DJ and presenter. He is particularly celebrated for his contributions to the funk and soul genres, often hosting shows that feature classic tracks and contemporary hits in these styles."
CRAIG RICHARDS,"Artist, record collector, dreamer, DJ, producer, and artist in residence and musical director at Fabric for 25 years takes control."
CRAIG RICHARDS B2B FRANCESCO DEL GARDA,"Artist, record collector, dreamer, DJ, producer, and artist in residence and musical director at Fabric for 25 years takes control."
CRAZY P,"Slinky underground disco, deep electronic throbs and shimmering pop melodies; dance music with heart and soul."
CUT CAPERS,Explosive nine-piece with a killer live reputation filled with booming brass hooks and epic high energy arrangements.
CYNDI LAUPER,"Activist, actress and 80s global pop icon whose ‘Girls Just Want To Have Fun’ remains the legendary feminist anthem."
D-BLOCK EUROPE,British hip hop collective delivering woozy trap and some hedonistic rap rhymes.
D:REAM,Chart toppers celebrating 30 years anniversary with a brand-new show full of their anthems.
DAISY CHAPMAN,"Daisy Chapman's music sits at the intersection of dark folk and chamber pop. Known for her haunting piano compositions and powerful vocals, she crafts emotionally charged songs that resonate deeply with her audience."
DAN BEAN,Wonky horizontal psychedelia
DAN SHAKE,"The groove lover, ranging from sparky acid to Brazilian samba, itchy funk to heavyweight house."
DAN SHAKE B2B LOVEFOXY,The groove lover meets the energetic Berliner’s punchy sounds.
DANIEL AVERY,A dexterous DJ who has turned his hand to everything from pounding techno to dark industrial noise and blissed out ambience over the years.
DANNY BROWN,"Having dropped his sixth studio album, ‘Quaranta’ last year, the Detroit-raised MC is making an overdue debut at the festival."
DAPHNI,"Daphni is a side project of Canadian musician Dan Snaith, who is also known for his work as Caribou. Under the Daphni moniker, Snaith delves into electronic dance music, creating tracks that are innovative and often geared towards the dance floor with a mix of house, techno, and experimental sounds."
DAR DISKU,"Dar Disku is a duo known for their eclectic DJ sets and music productions that draw heavily from Middle Eastern and Arabic influences. They often blend traditional sounds with contemporary electronic music, creating unique and danceable tracks."
DAR DISKU B2B NABIHAH IQBAL,"The musician, writer and broadcaster meets the label championing the sounds of the Middle East, Asia and beyond."
DAS BRASS,"Das Brass is a dynamic brass band that infuses traditional brass band music with elements of funk, hip-hop, and dance. Their high-energy performances are known for their infectious grooves and lively atmosphere."
DAVE HARVEY B2B FELIX DICKINSON,Teamlove supremo Dave Harvey meets Glastonbury favourite Felix Dickinson.
DAVID CELIA,"David Celia is a Canadian singer-songwriter known for his engaging blend of folk rock and pop. His music often features harmonious melodies, thoughtful lyrics, and a warm, acoustic-driven sound."
DAVID R ABRAM - PREHISTORIC BRITAIN FROM THE AIR,Join photographer and author David R Abram on a revelatory aerial journey across the ceremonial landscapes of prehistoric Britain.
DEAF RAVE,Deaf Rave is a unique movement within the electronic dance music scene that aims to bring the rave experience to the deaf and hard of hearing community through visual music and sign language performances.
DECIUS,"Members of Trashmouth Records, Fat White Family and Paranoid London find themselves climbing out of a hole together at a disco after hours."
DECLAN MCKENNA,Former Glastonbury Emerging Talent winner who’s blossomed into an alternative indie alt-rock star.
DEEKLINE,"Deekline is a prominent figure in the Breakbeat genre, which features a syncopated drum pattern, and is closely related to genres like Jungle and Drum and Bass."
DEENA ABDELWAHED,"Deena Abdelwahed, Tunisian DJ/producer, now in France. Known for hybridized sets and acclaimed EP "
DEJA,"Funky, gentle and smooth R&B mixed into a flamboyant super sweet sound."
DELE SOSIMI AFROBEAT EXPERIENCE,"The Nigerian-British Afrobeat ambassador at the heart of the global Afrobeat scene with his blend of complex funk grooves, traditional Nigerian music and African percussion."
DELILAH BON,"Delilah Bon is recognized for her fusion of rap, punk, and rock. Her music is characterized by strong feminist themes, aggressive vocals, and a DIY punk aesthetic that challenges societal norms."
DEMI RIQUISIMO,"Demi Riquisimo is known for his eclectic DJ sets and productions that blend house, disco, and electro influences. His music is characterized by its groove and energy, making him a popular figure in the underground dance music scene."
DEMI RIQUÍSIMO,"Demi Riquísimo is known for his contributions to the nu-disco and house music scenes. His tracks often feature a blend of groovy basslines, funky rhythms, and nostalgic vibes that have made him a rising star in the dance music community."
DENHAM AUDIO,"Denham Audio is associated with the Rave and breakbeat Hardcore scenes, known for their high-energy beats and nostalgic nods to 90s British rave culture."
DERVISH,"Compelling soulful Irish folk music that marries technical brilliance with a rare sensitivity, born of their lengthy career."
DESIREE,"A dynamic and vibrant selector driven by a deep yearning for electronica, channelling her knowledge and passion into unforgettable performances."
DEXYS,"Ever-morphing pop purists playing a saucy, synth-heavy cabaret of sound: occasionally doom-laden, heavy and dark, then steamy, fizzing and sultry."
DILLINJA,"Dillinja is a British drum and bass producer and DJ, renowned for his heavy basslines and powerful production techniques. He is considered one of the pioneers of the genre, with a career spanning several decades. Dillinja co-founded the label Valve Recordings and was instrumental in the development of the iconic Valve Sound System."
DISCLOSURE,"Electronic mixmasters straddling the boundaries of deep house, UK funky, 2-step garage, deep tech, EDM and anything else they care to."
DISMANTLE,"Dismantle is a producer known for his contributions to the UK bass music scene, particularly within the genres of dubstep and drum and bass."
DISMANTLE B2B EMERALD,The ‘Computation’ hit maker meets DJ and broadcaster Emerald Rose.
DISRUPTA,"Disrupta is an emerging artist in the Drum and Bass genre, known for his energetic tracks and innovative mixes. His music often features fast-paced breaks, heavy basslines, and intricate rhythms, making him a notable figure in the contemporary Drum and Bass scene."
DIXON,"Dixon is a renowned DJ and producer in the house and techno genres. As a key figure in the Berlin electronic music scene, he is celebrated for his deep, emotive sets and his role in the influential Innervisions label."
DIY,"DIY is a legendary collective within the underground house music scene, particularly known for their contribution to the early UK free party movement. They are celebrated for their deep house tracks and organizing free parties and events since the 1990s."
DJ BORING,"DJ Boring is an electronic music producer and DJ from Australia, noted for his lo-fi house tracks. He rose to prominence with the viral hit 'Winona,' known for its nostalgic vibe and distinctive samples."
DJ DANIFOX,"Dj Danifox is a prominent figure in the Kuduro music scene, an energetic style of dance music that originated in Angola and incorporates African rhythms and Portuguese influences."
DJ DIE,"DJ Die is a pivotal figure in the drum and bass scene, particularly known for his contributions to the 'Bristol sound.' He was a member of the groundbreaking collective Reprazent alongside Roni Size and has released numerous influential tracks and remixes."
DJ EZ,"DJ EZ is renowned for his exceptional skill and influence in the UK Garage scene. With a career spanning over two decades, he is celebrated for his high-energy sets and technical prowess."
DJ FLIGHT,"DJ Flight, Drum & Bass pioneer, EQ50 co-founder. Celebrated 25 years in 2022 with Boiler Room set, DJ Mag award."
DJ LAG,Electronic dance sounds from the South African DJ and producer.
DJ MILO,Hailing from the vibrant streets of Johannesburg with a magnetic fusion of hip hop and R&B that keeps the crowd grooving.
DJ PAULETTE,"DJ Paulette is a renowned British DJ known for her eclectic sets that span various genres including house, techno, and disco. She has had residencies at some of the world's top clubs and is celebrated for her dynamic and inclusive approach to DJing."
DJ PYTHON,"DJ Python, aka Brian Pineyro, NYC-based, versatile producer. Master of lo-fi house, techno, ambient. Global festival favorite."
DJ RAP,"DJ Rap is a pioneering figure in drum and bass and electronic music. She has been an influential DJ, producer, and vocalist in the scene, known for her high-energy sets and versatile production that spans genres including drum and bass, house, and breakbeat."
DJ RUBBISH,"Mashup pioneers satirising Alan Sugar, Liz Truss and many more with DJ Rubbish as the ultimate MC just to confuse matters."
DJ SPEN,"DJ Spen is an American DJ and producer, renowned for his work in house music. He has a long history in the industry, including his work with The Basement Boys and Quantize Recordings."
DJ STINGRAY 313,"DJ Stingray 313, Detroit native, electro pioneer. Known for masked performances, Urban Tribe alias, futuristic beats."
DJ TENNIS,"DJ Tennis is a key figure in the indie dance and electronic music scenes, known for his eclectic sets that combine house, techno, and indie influences."
DJ TENNIS B2B DEMI RIQUÍSIMO,"Tennis valiantly showcases an astute ability to create intimacy in even the vastest of gatherings. As a respected producer, Romano consistently channels intricately-synthesised electronic constellations.Raised in Detroit, London-based Demi Riquísimo is gaining worldwide recognition for his standout acid, italo house and disco-inspired sonic palette with support from the likes of DJ Tennis"
DOC SCOTT,"Doc Scott is a renowned drum and bass DJ and producer from the UK, considered one of the pioneers of the genre, with a career spanning jungle, drum and bass, and breakbeat."
